,Date,mtt_signal,mansfield_rs,minervini_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分
780,2024-08-02,0,40.03100019848374,75.42946499257756,False,False,False,True,0,22300,2813,和弘食品,食料品,食品,-,スタンダード（内国株式）
781,2024-08-02,0,8.940585493292685,10.558954055327115,False,False,False,True,0,1100,2814,佐藤食品工業,食料品,食品,-,スタンダード（内国株式）
782,2024-08-02,0,2.194697436268922,1.3978695619175794,False,False,False,True,0,70600,2815,アリアケジャパン,食料品,食品,TOPIX Small 1,プライム（内国株式）
783,2024-08-02,0,1.4142890519996287,0.5587384232994208,False,False,False,True,0,6100,2816,ダイショー,食料品,食品,-,スタンダード（内国株式）
784,2024-08-02,0,0.38843171391373943,-0.8183040696798005,False,False,False,True,0,7500,2818,ピエトロ,食料品,食品,TOPIX Small 2,スタンダード（内国株式）
785,2024-08-02,0,0.1347263990316261,-1.588855909935292,False,False,False,True,0,8500,2819,エバラ食品工業,食料品,食品,TOPIX Small 2,スタンダード（内国株式）
786,2024-08-02,0,-1.154948008036294,28.93639233987907,False,False,False,True,0,87600,2820,やまみ,食料品,食品,TOPIX Small 2,スタンダード（内国株式）
787,2024-08-02,0,1.8350773728053715,0.6980194603002389,False,False,False,True,0,9500,2830,アヲハタ,食料品,食品,-,スタンダード（内国株式）
788,2024-08-02,0,2.5523780184618206,1.8675850043977031,False,False,False,True,0,2100,2831,はごろもフーズ,食料品,食品,-,スタンダード（内国株式）
789,2024-08-02,0,-2.3369121470059206,-0.36995779114837235,False,False,False,True,0,424,2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ,-,-,-,ETF・ETN
790,2024-08-02,0,-0.337388107976333,0.21969681520780396,False,False,False,True,0,454,2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ,-,-,-,ETF・ETN
791,2024-08-02,0,16.58965698681163,16.250481813988273,True,False,True,False,178,0,2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）,-,-,-,ETF・ETN
792,2024-08-02,0,2.847134386391903,0.8204228903502655,False,False,False,True,0,3864,2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,-,-,-,ETF・ETN
793,2024-08-02,0,6.074248593787024,12.551871892235955,False,False,False,True,0,17981,2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,-,-,-,ETF・ETN
794,2024-08-02,0,5.519221230672988,9.341126469646467,False,False,False,True,0,4951,2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）,-,-,-,ETF・ETN
795,2024-08-02,0,-4.7555418726471625,-10.852114132356288,False,False,True,False,34580,0,2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,-,-,-,ETF・ETN
796,2024-08-02,0,2.595792683664322,1.0835526904193447,False,False,False,True,0,60,2843,上場インデックスファンド豪州国債（為替ヘッジあり）,-,-,-,ETF・ETN
797,2024-08-02,0,1.728562242664644,1.1112386372273833,False,False,False,True,0,1710,2844,上場インデックスファンド豪州国債（為替ヘッジなし）,-,-,-,ETF・ETN
798,2024-08-02,0,9.071582112037401,13.198927706347416,False,False,True,False,228780,0,2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,-,-,-,ETF・ETN
799,2024-08-02,0,5.799579140899169,6.4241789682786665,False,False,False,True,0,11440,2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,-,-,-,ETF・ETN
800,2024-08-02,0,-1.4078109220543755,0.1207840863578438,False,False,False,True,0,15,2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ,-,-,-,ETF・ETN
801,2024-08-02,0,1.6260875205613479,3.675400143392929,False,False,False,True,0,43,2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ,-,-,-,ETF・ETN
802,2024-08-02,0,2.5863321481360613,3.96160339130871,False,False,False,True,0,309,2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ,-,-,-,ETF・ETN
803,2024-08-02,0,2.292011806852612,5.900457075275609,False,False,False,False,0,0,2850,ＮＥＸＴ　ＦＵＮＤＳ　ＳｏｌａｃｔｉｖｅジャパンＥＳＧコア指数連動型上場投信,-,-,-,ETF・ETN
804,2024-08-02,0,4.267029650611565,6.359305288323128,False,False,False,True,0,410,2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,-,-,-,ETF・ETN
805,2024-08-02,0,-4.926733354526947,-9.741723755992805,False,False,False,True,0,3240,2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ,-,-,-,ETF・ETN
806,2024-08-02,0,2.262846073318192,7.503165273110271,False,False,False,True,0,23160,2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ,-,-,-,ETF・ETN
807,2024-08-02,0,-3.749990214373511,-8.070819591750872,False,False,True,False,317,0,2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ,-,-,-,ETF・ETN
808,2024-08-02,0,1.967500075126516,0.3531668220591056,False,False,True,False,772280,0,2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,-,-,-,ETF・ETN
809,2024-08-02,0,1.820703884992314,0.24810209303949515,False,False,True,False,1620,0,2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）,-,-,-,ETF・ETN
810,2024-08-02,0,-5.339268901772998,-4.2734913487899,False,False,False,True,0,10159,2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,-,-,-,ETF・ETN
