Date,Adj Close,mtt_condition,mtt_on,mtt_off,mansfield_rs,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,st_fast_dir,st_slow_dir,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,日経平均構成銘柄,mansfield_rsi,minervini_rsi
2024-08-07,3580.0,1,0,0,17.20276714660338,15.643330131160905,,False,False,True,False,211000,0,-1,1,9072,ニッコンホールディングス,陸運業,運輸・物流,TOPIX Mid400,プライム（内国株式）,False,94,90.0
2024-08-07,5710.0,1,0,0,99.40009211582151,197.5876385907246,,False,False,False,False,0,0,1,1,9099,Ｃ＆Ｆロジホールディングス,陸運業,運輸・物流,TOPIX Small 2,プライム（内国株式）,False,99,99.0
2024-08-07,3735.0,1,1,0,15.880392950430334,15.216849696508138,,False,False,True,False,1403400,0,-1,-1,9142,九州旅客鉄道,陸運業,運輸・物流,TOPIX Mid400,プライム（内国株式）,False,93,90.0
2024-08-07,1113.0,1,1,0,13.732797622050352,10.81922327547209,,False,False,True,False,21300,0,-1,-1,9233,アジア航測,空運業,運輸・物流,-,スタンダード（内国株式）,False,92,87.0
2024-08-07,1708.0,1,0,0,25.71629900234864,25.872600432240024,,False,False,True,False,3300,0,-1,1,9241,フューチャーリンクネットワーク,サービス業,情報通信・サービスその他,-,グロース（内国株式）,False,96,95.0
2024-08-07,4140.0,1,0,0,33.831722968817026,59.097196722500776,,False,False,True,False,5200,0,-1,-1,9249,日本エコシステム,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）,False,97,98.0
2024-08-07,2734.0,1,0,0,13.801961223131464,12.66482971905803,,False,False,True,False,265700,0,-1,1,9336,大栄環境,サービス業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,92,88.0
2024-08-07,1265.0,1,0,0,171.08050972092298,222.2900900900901,,True,False,False,True,0,46474,1,1,9399,ビート・ホールディングス・リミテッド,情報・通信業,情報通信・サービスその他,-,スタンダード（外国株式）,False,99,99.0
2024-08-07,4800.0,1,1,0,16.57987325088499,23.180458331645717,,False,False,True,False,345400,0,-1,-1,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,94,94.0
2024-08-07,3990.0,1,1,0,16.880475206684565,18.664175908075947,,False,False,True,False,111900,0,-1,-1,9436,沖縄セルラー電話,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,False,94,92.0
2024-08-07,886.0,1,1,0,29.470733446426255,37.83412681133805,,False,False,True,False,204100,0,1,-1,9438,エムティーアイ,情報・通信業,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,False,97,97.0
2024-08-07,3460.0,1,1,0,13.364466053471102,18.518169972977415,,False,False,True,False,1893400,0,-1,-1,9532,大阪瓦斯,電気・ガス業,電力・ガス,TOPIX Mid400,プライム（内国株式）,True,91,92.0
2024-08-07,4343.0,1,0,0,36.43623393154394,38.623430036487235,,False,False,True,False,357200,0,1,1,9533,東邦瓦斯,電気・ガス業,電力・ガス,TOPIX Mid400,プライム（内国株式）,False,98,97.0
2024-08-07,799.0,1,0,0,41.181431241275575,46.89701681260537,,False,False,True,False,23800,0,1,1,9561,グラッドキューブ,サービス業,情報通信・サービスその他,-,グロース（内国株式）,False,98,97.0
2024-08-07,1267.0,1,0,0,25.081606171315272,26.145397440550646,,False,False,True,False,5200,0,-1,-1,9651,日本プロセス,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,False,96,95.0
2024-08-07,1935.0,1,1,0,22.71674301802873,22.238530548499025,,False,False,True,False,27600,0,1,1,9717,ジャステック,情報・通信業,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,False,96,94.0
2024-08-07,7390.0,1,1,0,22.698688212807518,30.699813827910205,,False,False,True,False,351500,0,1,-1,9749,富士ソフト,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,96,95.0
2024-08-07,1841.0,1,1,0,29.708980756067916,37.66048766197726,,False,False,True,False,35800,0,1,1,9761,東海リース,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）,False,97,97.0
2024-08-07,2485.0,1,0,0,31.503841480768546,29.98903753248633,,False,False,False,True,0,287500,-1,-1,9882,イエローハット,卸売業,商社・卸売,TOPIX Small 1,プライム（内国株式）,False,97,95.0
2024-08-07,67.0,1,0,0,74.9908458043166,82.58276914004468,,False,False,True,False,4132400,0,-1,-1,9978,文教堂グループホールディングス,小売業,小売,-,スタンダード（内国株式）,False,99,99.0
