Date,is_52w_high,is_52w_low,hh-hl,trin,trin_13ma
2023-05-22,292,67,225,1.102724967553513,0.9830698165115457
2023-05-23,367,62,305,0.5334440488298706,0.9188375639855921
2023-05-24,81,42,39,0.8818468949000875,0.913553182687663
2023-05-25,119,57,62,1.3991121647676454,0.9829187515562319
2023-05-26,155,85,70,0.7821544745634574,0.9542381405572641
2023-05-29,265,85,180,0.8962083626748938,0.945948172288354
2023-05-30,111,103,8,0.8793409750823322,0.9364328584017796
2023-05-31,77,122,-45,1.1091614789959052,0.9611083756295119
2023-06-01,64,117,-53,0.5744886514805426,0.9058769864653735
2023-06-02,149,72,77,0.9708232881277051,0.9151550295599924
2023-06-05,368,38,330,1.1163226029455684,0.9438932543293604
2023-06-06,327,41,286,0.6783109727758966,0.9059529283931514
2023-06-07,401,35,366,1.6014722837527884,1.005312836301671
2023-06-08,119,37,82,0.5969893591560401,0.9469809109951524
2023-06-09,174,30,144,0.794065133502625,0.9251357999247913
2023-06-12,356,24,332,2.0546514833851752,1.0864951832762748
2023-06-13,519,33,486,0.8545375858702212,1.0533583836468385
2023-06-14,546,45,501,0.788717239841174,1.015552505960315
2023-06-15,466,49,417,0.9451398573305592,1.0054935561560643
2023-06-16,359,34,325,1.7058036656841444,1.1055378575172186
2023-06-19,482,39,443,1.117394174239074,1.1072316170489123
2023-06-20,245,22,223,1.3038713699430935,1.1353230103195096
2023-06-21,368,11,357,0.7511037854557011,1.0804345496246799
2023-06-22,378,18,360,0.42352788776758027,0.9865907407879515
2023-06-23,295,26,269,0.9372936567473987,0.9795483002107297
2023-06-26,151,37,114,0.8691148844893007,0.9637720979648113
2023-06-27,118,51,67,0.7647727661033191,0.9353436219845982
2023-06-28,291,23,268,0.8406827832610152,0.9218206450240863
2023-06-29,420,20,400,1.498885903209275,1.0042585390505419
2023-06-30,251,20,231,1.4804211781924184,1.0722817732136671
2023-07-03,543,31,512,0.6610803066156421,1.0135387065568064
2023-07-04,389,19,370,0.8807814774943594,0.9945733881193141
2023-07-05,258,28,230,0.5315735124347094,0.9284305487357992
2023-07-06,156,39,117,0.7337667955450355,0.9006214411371188
2023-07-07,96,49,47,1.2548888373789107,0.9512310691716606
2023-07-10,144,35,109,0.8485201180142816,0.936558076149178
2023-07-11,119,29,90,1.4003074952348282,1.0028079931614138
2023-07-12,96,48,48,0.45380084084874395,0.9243783999738895
2023-07-13,75,52,23,1.0432715178485512,0.9413631310988413
2023-07-14,88,48,40,1.084779403704871,0.9618511700425598
2023-07-18,119,45,74,1.2733641717750712,1.0063530274329187
2023-07-19,191,30,161,0.966252927064155,1.0006244416659524
2023-07-20,213,29,184,0.7907823810073447,0.9706470044290085
2023-07-21,134,38,96,0.5700184856250511,0.9134143588855861
2023-07-24,260,24,236,0.9310981894053401,0.9159406203884082
2023-07-25,301,34,267,0.7667654569327458,0.894629882751885
2023-07-26,203,30,173,1.637233892611318,1.0007161698746612
2023-07-27,196,27,169,0.8489196134986805,0.9790309475352353
2023-07-28,183,64,119,0.8344976483063511,0.9583833333596805
2023-07-31,513,36,477,0.9369207787990838,0.9553172541367382
2023-08-01,428,44,384,1.0750489472150297,0.9724217817193513
2023-08-02,248,40,208,0.790554211257736,0.9464407002248348
2023-08-03,53,105,-52,0.5845302971052625,0.894739214064896
2023-08-04,97,114,-17,1.1015638115561628,0.9242855851350771
2023-08-07,165,76,89,1.2708545244004956,0.9737954336015655
2023-08-08,226,38,188,0.7274360544161378,0.9386012365750759
2023-08-09,171,60,111,0.6832039036621593,0.9021159033018021
2023-08-10,250,81,169,0.7793423194180324,0.884576819889835
2023-08-14,317,102,215,0.8789494752715297,0.8837729135157915
2023-08-15,184,144,40,0.8473981721605901,0.8785765218936199
2023-08-16,138,168,-30,0.9539082552167177,0.889338198082634
2023-08-17,71,248,-177,0.5635212306187295,0.8427929170163619
