Date,mtt_condition,mtt_on,mtt_off,mansfield_rs,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,日経平均構成銘柄,rsi_ma,rsi_mi
2024-08-05,0,0,0,-6.896871381376202,-24.140583290702107,0.14937757772861385,False,True,True,False,58800,0,7952,河合楽器製作所,その他製品,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,False,35.0,23.0
2024-08-05,0,0,0,2.949557717950979,-11.717215452424163,-0.7162731850838413,False,True,False,True,0,54500,7953,菊水化学工業,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,61.0,53.0
2024-08-05,0,0,0,0.8585285678055277,-14.173820858058791,-0.6472035438104471,False,True,False,True,0,96900,7955,クリナップ,その他製品,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,False,55.0,46.0
2024-08-05,0,0,0,3.415302638762352,-13.227802231454206,-0.44930164205628725,False,True,False,True,0,1946800,7956,ピジョン,その他製品,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,False,63.0,49.0
2024-08-05,0,0,0,11.359889785408829,-6.13732766941117,-0.05463864340447693,False,True,False,True,0,1100,7957,フジコピアン,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,82.0,70.0
2024-08-05,0,0,0,13.754776077149632,0.6040103718828173,-0.5684823443755679,False,False,False,True,0,52800,7958,天馬,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,False,86.0,83.0
2024-08-05,0,0,0,4.1844203195387175,-10.77101700982487,-0.5948173066962474,False,True,False,True,0,92900,7962,キングジム,その他製品,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,False,65.0,56.0
2024-08-05,0,0,0,4.563809557522847,-11.016232383806495,-0.58125803045758,False,True,False,True,0,13500,7963,興研,その他製品,情報通信・サービスその他,-,スタンダード（内国株式）,False,66.0,55.0
2024-08-05,0,0,0,-0.7355167910576665,-19.513642736651978,-0.6205812079519306,False,True,False,True,0,170400,7965,象印マホービン,電気機器,電機・精密,TOPIX Small 1,プライム（内国株式）,False,51.0,32.0
2024-08-05,0,0,0,-3.5283094525152436,-10.554386660348538,-1.5811005846960335,False,False,False,True,0,667000,7966,リンテック,その他製品,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,43.0,57.0
2024-08-05,0,0,0,-3.5491086125017723,-14.96984095745277,-1.0224487426738487,False,True,False,True,0,237100,7970,信越ポリマー,化学,素材・化学,TOPIX Small 1,プライム（内国株式）,False,43.0,44.0
