Date,mtt_on,mtt_off,mtt_condition,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline
2009-11-12,0,0,0,0,0,448,1671,327771725,1668634242
2009-11-13,0,0,0,0,0,919,1105,1778957931,1033712717
2009-11-16,0,0,0,0,0,667,1432,882600108,949818009
2009-11-17,0,0,0,0,0,431,1696,1377728944,974464989
2009-11-18,0,0,0,0,0,790,1347,632470725,1527934093
2009-11-19,0,0,0,0,0,752,1345,304728732,2069357923
2009-11-20,0,0,0,0,0,1602,518,1433282659,597540631
2009-11-24,0,0,0,0,0,494,1638,1031970005,1188010753
2009-11-25,0,0,0,0,0,1068,1030,965228755,1025189132
2009-11-26,146,0,146,0,0,1159,859,1868461022,304381524
2009-11-27,15,48,113,0,0,712,1378,823787337,2118168777
2009-11-30,68,14,167,0,0,1614,462,1942155576,178611196
2009-12-01,57,21,203,0,0,1716,416,2153092879,411666918
2009-12-02,42,21,224,0,0,977,1060,1438535451,582524520
2009-12-03,101,16,309,0,0,1733,430,2824967913,177512466
2009-12-04,22,53,278,0,0,929,1165,1014226288,2565875484
2009-12-07,71,18,331,0,0,866,1254,1488842441,1200235137
2009-12-08,35,47,319,0,0,924,1143,826939914,1545828426
2009-12-09,24,51,292,0,0,843,1223,503100298,2105586565
2009-12-10,27,44,275,0,0,643,1486,963588067,1482181880
2009-12-11,58,21,312,0,0,1243,865,1939828877,1342444898
2009-12-14,31,22,321,0,0,852,1249,825127875,1266706931
2009-12-15,32,40,313,0,0,1058,993,1665647060,307643325
2009-12-16,46,22,337,0,0,1084,1003,430118524,1802064620
2009-12-17,28,29,336,0,0,833,1200,1052779769,981109019
2009-12-18,26,31,331,0,0,1241,813,1400617873,619282457
2009-12-21,32,40,323,0,0,778,1349,1066996790,560367875
2009-12-22,42,20,345,0,0,1160,995,2017789901,632475356
2009-12-24,37,21,361,0,0,1224,933,2257869745,494161396
2009-12-25,22,34,342,0,0,740,1399,284850625,636518427
2009-12-28,44,24,369,0,0,1325,781,900049101,690785434
2009-12-29,14,26,357,0,0,1114,862,752159330,608333111
2009-12-30,23,33,347,0,0,906,1084,260655528,1518269941
2010-01-04,36,16,367,0,0,1257,795,797989768,683087712
2010-01-05,14,21,360,0,0,591,1468,421820545,1686127100
2010-01-06,24,18,366,0,0,1019,894,768422915,277868519
2010-01-07,18,20,364,0,0,1009,1051,668140793,1502033615
2010-01-08,32,25,371,0,0,1230,810,1406467769,1186507101
2010-01-12,31,18,384,0,0,1423,690,1820570442,394049830
2010-01-13,14,29,369,55,17,901,1164,972452663,1765737591
2010-01-14,23,15,377,74,22,1384,751,3016764642,275984234
2010-01-15,29,16,390,87,21,1159,910,1119718578,1394428387
2010-01-18,20,15,394,51,19,1052,980,517404654,1867163827
2010-01-19,10,19,386,52,17,891,1141,458783860,1187707341
2010-01-20,30,16,400,59,19,654,1418,232770068,2534467125
2010-01-21,22,19,403,63,25,1565,532,2389585477,496662031
2010-01-22,10,34,379,40,19,1020,1048,1799368665,1209117921
2010-01-25,11,25,365,41,24,1244,866,1042810327,1004118733
2010-01-26,7,48,324,40,26,396,1749,947078791,1633744443
2010-01-27,13,60,277,29,32,567,1488,855934016,1246322634
2010-01-28,38,18,297,33,35,1293,738,1757045653,771902739
2010-01-29,19,48,268,35,41,662,1419,368737118,2330824453
2010-02-01,15,45,238,39,64,773,1321,1306023941,1109678317
2010-02-02,48,14,272,44,49,1251,718,1139757500,807949396
2010-02-03,28,22,278,55,33,1002,1024,1033312142,1198940904
2010-02-04,30,23,285,49,34,824,1210,627818472,2027036289
2010-02-05,14,62,237,29,51,930,1115,1807153155,1032961771
2010-02-08,19,44,212,31,65,768,1277,373675116,1500379509
2010-02-09,31,22,221,30,73,1082,920,1213077977,832067447
2010-02-10,28,27,222,27,59,769,1279,946009321,1053871827
2010-02-12,35,21,236,35,61,1043,1032,1377548679,724109431
2010-02-15,26,34,228,35,59,610,1425,178994137,1245133702
2010-02-16,25,16,237,35,53,833,1157,608604070,750194129
2010-02-17,69,5,301,33,40,1334,707,1498327130,439918559
2010-02-18,21,26,296,42,41,971,1029,873645556,838695853
2010-02-19,18,48,266,33,45,371,1734,95711025,2283250770
2010-02-22,62,14,314,49,35,1392,716,1336322748,287873186
2010-02-23,19,28,305,45,35,1047,1034,1184248859,584438320
2010-02-24,23,54,274,41,53,954,1093,1183626597,597411908
2010-02-25,23,35,262,29,51,827,1299,197731613,1605298903
2010-02-26,29,17,274,34,44,1282,768,1104431096,482557939
2010-03-01,25,14,285,54,36,1253,840,1017914759,298551756
2010-03-02,25,13,297,46,32,1108,920,702087677,691901882
2010-03-03,20,19,298,45,33,1237,797,1250721784,423847371
2010-03-04,8,24,282,44,28,620,1453,787601758,902085849
2010-03-05,34,11,305,50,33,1378,700,1234992827,687675023
2010-03-08,49,11,343,84,29,1018,1067,2294916870,677249474
2010-03-09,22,25,340,74,26,936,1103,434507073,967519921
2010-03-10,18,25,333,80,29,826,1219,419833857,973379190
2010-03-11,43,8,368,96,25,1230,819,872472516,395242942
2010-03-12,24,12,380,89,24,1200,863,1195752421,1654121949
2010-03-15,30,26,384,114,17,1066,1076,496272465,1175833441
2010-03-16,19,28,375,108,18,1172,938,591887359,875021519
2010-03-17,36,9,402,118,19,1441,747,1276552471,561442005
2010-03-18,10,18,394,109,19,846,1315,639953715,1124937484
2010-03-19,29,9,414,119,17,1383,803,881518236,683106178
2010-03-23,14,19,409,133,15,1111,1140,785866855,1082163417
2010-03-24,22,13,418,139,14,1035,1188,1366395561,1075301559
2010-03-25,16,17,417,138,17,912,1337,1029047072,1491229851
2010-03-26,27,19,425,171,11,1601,661,2587045059,477523482
2010-03-29,19,26,418,151,20,1453,761,1499899934,214690893
2010-03-30,22,12,428,198,13,1597,620,1713000057,339659051
2010-03-31,19,22,425,200,11,1029,1228,1212094343,945583438
2010-04-01,24,15,434,143,14,1246,933,1017823221,1308590651
2010-04-02,17,14,433,177,19,967,1202,858093557,1387562440
2010-04-05,24,15,445,219,9,1318,911,573006983,1170829030
2010-04-06,15,16,445,172,11,691,1525,619347330,1531839268
2010-04-07,17,10,452,123,11,1296,905,2123370513,745620515
2010-04-08,18,20,450,87,8,1133,1095,941663937,1106004160
2010-04-09,20,10,460,109,9,1482,714,2887283643,730565106
2010-04-12,25,9,476,203,8,1163,1088,650015860,1513345047
2010-04-13,15,31,460,109,7,649,1591,732627979,1324529334
2010-04-14,21,18,463,121,10,1082,1115,1254611847,982165734
2010-04-15,26,12,477,154,9,1193,1038,586684050,1409883669
2010-04-16,11,19,469,94,9,597,1678,950266018,1402515387
2010-04-19,13,36,446,56,17,973,1225,564508726,2127859699
2010-04-20,11,23,434,72,15,886,1293,499947326,1531335576
2010-04-21,40,6,468,88,13,1636,618,929218833,772131393
2010-04-22,14,25,457,97,14,1056,1146,952344080,1257896735
2010-04-23,19,14,462,141,16,1407,828,1478520694,809385469
2010-04-26,40,14,488,248,12,1626,684,1885613085,208324279
2010-04-27,33,12,509,167,8,1134,1083,930288795,1121533627
2010-04-28,16,39,486,99,13,1120,1093,1825865164,1085786850
2010-04-30,22,15,493,163,9,1035,1219,601462002,2696459400
2010-05-06,11,66,438,93,19,755,1536,1279743078,1758212526
2010-05-07,12,100,350,38,49,1347,990,2242105304,1114162037
2010-05-10,48,21,377,51,28,1790,493,2296746403,299289313
2010-05-11,21,42,356,68,20,371,1945,1077928887,1723283359
2010-05-12,20,34,342,47,25,765,1414,1037025961,1361316124
2010-05-13,58,19,381,60,21,1302,907,1510383264,676626992
2010-05-14,21,40,362,67,29,1122,1060,1541466545,872669098
2010-05-17,14,95,281,40,62,484,1877,545953872,2689117211
2010-05-18,17,54,244,30,63,465,1808,240047405,3032748497
2010-05-19,27,45,226,17,97,1450,806,1850720346,1077748757
2010-05-20,14,38,202,18,70,897,1325,837387119,1689294412
2010-05-21,6,61,147,8,177,1218,1066,2194331056,893678945
2010-05-24,28,11,164,14,114,1073,1113,1177900400,1338362296
2010-05-25,9,54,119,14,186,415,1885,402865948,1949818042
2010-05-26,15,27,107,8,211,794,1400,803144899,1985296143
2010-05-27,27,15,119,7,182,1651,523,2542893405,106931166
2010-05-28,43,7,155,10,65,834,1309,396882892,2197551990
2010-05-31,36,11,177,21,49,1636,500,1047882829,1235014172
2010-06-01,20,22,178,20,33,936,1123,931692848,708129449
2010-06-02,13,33,158,13,50,883,1148,539852660,1639315792
2010-06-03,42,11,189,19,31,1430,668,1543771123,486808085
2010-06-04,26,13,202,21,29,1001,1076,524386660,978412349
2010-06-07,5,58,149,13,112,548,1596,756603406,1875978678
2010-06-08,18,13,154,13,131,1466,613,1204504474,834225376
2010-06-09,12,28,138,13,130,676,1424,1120655975,1127290541
2010-06-10,28,14,152,15,96,1197,810,1320577257,543834212
2010-06-11,34,10,176,19,37,794,1300,620492011,2520984625
2010-06-14,67,10,233,44,30,1297,820,1014691445,353413050
2010-06-15,25,24,234,36,40,1027,999,893392911,636842727
2010-06-16,50,12,272,52,29,1138,1021,688686829,713744827
2010-06-17,16,43,245,36,26,796,1268,687242290,1206490383
2010-06-18,32,24,253,35,34,982,1097,965741484,810478916
2010-06-21,64,7,310,55,25,1646,525,1179488186,682717627
2010-06-22,24,35,299,38,21,971,1069,555337334,1165986649
2010-06-23,16,58,257,18,30,795,1291,635529148,1068834658
2010-06-24,38,25,270,26,34,1190,890,702781945,1040396671
2010-06-25,24,68,226,21,68,753,1383,546174889,1389202370
2010-06-28,22,61,187,20,84,609,1524,392237680,1031431148
2010-06-29,23,46,164,16,131,533,1619,82834567,1924232207
2010-06-30,15,48,131,15,219,1280,885,1703978092,320896749
2010-07-01,13,36,108,14,182,697,1321,255432656,988832712
2010-07-02,34,15,127,15,167,1285,811,704170417,922545237
2010-07-05,26,17,136,21,92,1379,670,1022433664,267440988
2010-07-06,36,12,160,19,119,1569,500,1677901753,88614273
2010-07-07,12,37,135,23,64,577,1446,515369800,1244369454
2010-07-08,53,7,181,20,42,969,1087,1223165939,624447504
2010-07-09,36,19,198,17,34,926,1123,539861267,1075652483
2010-07-12,35,20,213,24,48,839,1226,856228802,691801434
2010-07-13,18,43,188,19,57,483,1618,288831573,1272257599
2010-07-14,56,15,229,26,46,1245,838,1287539728,467644227
2010-07-15,20,50,199,18,74,525,1613,237797093,1441828165
2010-07-16,23,44,178,17,136,478,1610,129837713,1661946899
2010-07-21,29,60,147,20,199,472,1613,462732597,1239360319
2010-07-22,14,23,138,17,221,941,1118,1027214440,582372199
2010-07-23,45,12,171,23,88,1127,988,1381345494,701566107
2010-07-26,38,10,199,22,60,847,1180,303967700,1002547820
2010-07-27,23,25,197,19,51,1057,938,673930127,779209602
2010-07-28,52,11,238,22,37,1439,628,1746379812,208359174
2010-07-29,26,37,227,23,44,908,1110,734334642,943468843
2010-07-30,18,46,199,15,86,514,1578,267211561,1953001517
2010-08-02,28,35,192,19,112,809,1231,538949379,917979009
2010-08-03,41,21,212,19,88,741,1307,923498027,863014444
2010-08-04,10,49,173,12,168,462,1594,266173242,1521324790
2010-08-05,27,18,182,14,108,990,1007,724838981,1054615474
2010-08-06,33,20,195,24,125,1448,641,1739414090,161304154
2010-08-09,26,28,193,24,104,1318,718,1063592240,297868577
2010-08-10,20,34,179,19,111,549,1541,421686784,1009280178
2010-08-11,10,50,139,13,249,373,1756,325620052,1323397279
2010-08-12,9,37,111,10,424,1301,817,1564359950,455785483
2010-08-13,18,17,112,10,199,1358,677,1080912224,649721022
2010-08-16,20,23,109,12,222,1030,1006,1210024880,211991062
2010-08-17,8,23,94,12,224,1217,755,1086483287,288391989
2010-08-18,19,12,101,13,146,960,1023,1215467492,494436894
2010-08-19,33,9,125,14,117,1396,610,1361969911,359528243
